Epoch: 86, Loss: 0.36, Accuracy: 0.88, Time: 44.97s
Epoch: 87, Loss: 0.31, Accuracy: 0.90, Time: 41.67s
Epoch: 88, Loss: 0.32, Accuracy: 0.89, Time: 41.70s
Epoch: 89, Loss: 0.32, Accuracy: 0.89, Time: 41.47s
Epoch: 90, Loss: 0.34, Accuracy: 0.89, Time: 41.31s
Epoch: 91, Loss: 0.33, Accuracy: 0.89, Time: 41.51s
Epoch: 92, Loss: 0.30, Accuracy: 0.90, Time: 41.40s
Epoch: 93, Loss: 0.31, Accuracy: 0.90, Time: 45.62s
Epoch: 94, Loss: 0.30, Accuracy: 0.90, Time: 44.43s
Epoch: 95, Loss: 0.30, Accuracy: 0.89, Time: 44.83s
Epoch: 96, Loss: 0.28, Accuracy: 0.90, Time: 41.09s
Epoch: 97, Loss: 0.29, Accuracy: 0.90, Time: 41.80s
Epoch: 98, Loss: 0.28, Accuracy: 0.90, Time: 41.22s
Epoch: 99, Loss: 0.29, Accuracy: 0.90, Time: 40.88s
Epoch: 100, Loss: 0.30, Accuracy: 0.90, Time: 40.78s
Epoch: 101, Loss: 0.30, Accuracy: 0.90, Time: 41.01s
Epoch: 102, Loss: 0.29, Accuracy: 0.90, Time: 40.97s
Epoch: 103, Loss: 0.27, Accuracy: 0.90, Time: 40.77s
Epoch: 104, Loss: 0.25, Accuracy: 0.91, Time: 41.49s
Epoch: 105, Loss: 0.27, Accuracy: 0.91, Time: 40.87s
Epoch: 106, Loss: 0.27, Accuracy: 0.90, Time: 41.03s
Epoch: 107, Loss: 0.27, Accuracy: 0.91, Time: 41.05s
Epoch: 108, Loss: 0.27, Accuracy: 0.91, Time: 40.99s
Epoch: 109, Loss: 0.29, Accuracy: 0.90, Time: 40.93s
Epoch: 110, Loss: 0.28, Accuracy: 0.91, Time: 40.92s
Epoch: 111, Loss: 0.31, Accuracy: 0.90, Time: 41.04s
Epoch: 112, Loss: 0.30, Accuracy: 0.90, Time: 40.88s
Epoch: 113, Loss: 0.27, Accuracy: 0.91, Time: 40.95s
Epoch: 114, Loss: 0.27, Accuracy: 0.92, Time: 40.94s
Epoch: 115, Loss: 0.25, Accuracy: 0.92, Time: 40.80s
Epoch: 116, Loss: 0.28, Accuracy: 0.91, Time: 40.74s
Epoch: 117, Loss: 0.25, Accuracy: 0.92, Time: 40.79s
Epoch: 118, Loss: 0.21, Accuracy: 0.93, Time: 41.04s
Epoch: 119, Loss: 0.25, Accuracy: 0.91, Time: 40.82s
Epoch: 120, Loss: 0.24, Accuracy: 0.91, Time: 41.08s
Epoch: 121, Loss: 0.23, Accuracy: 0.92, Time: 41.03s
Epoch: 122, Loss: 0.23, Accuracy: 0.92, Time: 41.18s
Epoch: 123, Loss: 0.23, Accuracy: 0.92, Time: 40.89s
Epoch: 124, Loss: 0.25, Accuracy: 0.92, Time: 40.75s
Epoch: 125, Loss: 0.24, Accuracy: 0.91, Time: 40.89s
Epoch: 126, Loss: 0.23, Accuracy: 0.92, Time: 40.78s
Epoch: 127, Loss: 0.25, Accuracy: 0.92, Time: 40.92s
Epoch: 128, Loss: 0.24, Accuracy: 0.91, Time: 40.90s
Epoch: 129, Loss: 0.23, Accuracy: 0.92, Time: 40.83s
Epoch: 130, Loss: 0.23, Accuracy: 0.92, Time: 40.81s
Epoch: 131, Loss: 0.24, Accuracy: 0.92, Time: 40.70s
Epoch: 132, Loss: 0.23, Accuracy: 0.92, Time: 40.77s
Epoch: 133, Loss: 0.24, Accuracy: 0.92, Time: 40.88s
Epoch: 134, Loss: 0.23, Accuracy: 0.92, Time: 40.88s
Epoch: 135, Loss: 0.24, Accuracy: 0.92, Time: 50.18s
Epoch: 136, Loss: 0.23, Accuracy: 0.93, Time: 46.50s
Epoch: 137, Loss: 0.26, Accuracy: 0.92, Time: 50.72s
Epoch: 138, Loss: 0.23, Accuracy: 0.92, Time: 48.88s
Epoch: 139, Loss: 0.23, Accuracy: 0.92, Time: 51.69s
